WARN [07-08|12:48:26] No etherbase set and no accounts found as default 
INFO [07-08|12:48:26] Starting peer-to-peer node               instance=Geth/v1.6.5-stable-cf87713d/windows-amd64/go1.8.3
INFO [07-08|12:48:26] Allocated cache and file handles         database=d:\\BlockChain-Servers\\Ethereum\\Blockchain-2\\geth\\chaindata cache=128 handles=1024
INFO [07-08|12:48:27] Initialised chain configuration          config="{ChainID: 1 Homestead: 1150000 DAO: 1920000 DAOSupport: true EIP150: 2463000 EIP155: 2675000 EIP158: 2675000 Metropolis: 9223372036854775807 Engine: ethash}"
INFO [07-08|12:48:27] Disk storage enabled for ethash caches   dir=d:\\BlockChain-Servers\\Ethereum\\Blockchain-2\\geth\\ethash count=3
INFO [07-08|12:48:27] Disk storage enabled for ethash DAGs     dir=D:\\Users\\GZX434\\AppData\\Ethash                           count=2
INFO [07-08|12:48:27] Initialising Ethereum protocol           versions="[63 62]" network=5678
INFO [07-08|12:48:27] Loaded most recent local header          number=0 hash=d4e567…cb8fa3 td=17179869184
INFO [07-08|12:48:27] Loaded most recent local full block      number=0 hash=d4e567…cb8fa3 td=17179869184
INFO [07-08|12:48:27] Loaded most recent local fast block      number=0 hash=d4e567…cb8fa3 td=17179869184
INFO [07-08|12:48:27] Starting P2P networking 
INFO [07-08|12:48:27] RLPx listener up                         self="enode://a6b5006ffbc3c9970abd1178d3aebb67978bb082ea07c2fa36f92b17177793189033c095fd84137175b126f127167c3a70fbb34c683f7c6c109766062fb41a4b@[::]:30304?discport=0"
INFO [07-08|12:48:27] IPC endpoint opened: \\.\pipe\d:\BlockChain-Servers\Ethereum\Blockchain-2\geth.ipc 
INFO [07-08|12:51:27] IPC endpoint closed: \\.\pipe\d:\BlockChain-Servers\Ethereum\Blockchain-2\geth.ipc 
INFO [07-08|12:51:27] Blockchain manager stopped 
INFO [07-08|12:51:27] Stopping Ethereum protocol 
INFO [07-08|12:51:27] Ethereum protocol stopped 
INFO [07-08|12:51:27] Transaction pool stopped 
INFO [07-08|12:51:27] Database closed                          database=d:\\BlockChain-Servers\\Ethereum\\Blockchain-2\\geth\\chaindata
